nation,pos,squad,comp,age,born,mp,starts,min,90s,goals,shots,sot,sotpct,g/sh,g/sot,shodist,shofk,shopk,pkatt,pastotcmp,pastotatt,pastotcmppct,pastotdist,pastotprgdist,passhocmp,passhoatt,passhocmppct,pasmedcmp,pasmedatt,pasmedcmppct,pasloncmp,paslonatt,pasloncmppct,assists,pasass,pas3rd,ppa,crspa,pasprog,paslive,pasdead,pasfk,tb,sw,pascrs,ti,ck,ckin,ckout,ckstr,pasoff,pasblocks,sca,scapasslive,scapassdead,scadrib,scash,scafld,scadef,gca,gcapasslive,gcapassdead,gcadrib,gcash,gcafld,gcadef,tkl,tklwon,tkldef3rd,tklmid3rd,tklatt3rd,tkldri,tkldriatt,tkldripct,tkldripast,blocks,blksh,blkpass,int,tkl_plus_int,clr,err,touches,toudefpen,toudef3rd,toumid3rd,touatt3rd,touattpen,toulive,toatt,tosuc,tosucpct,totkl,totklpct,carries,cartotdist,carprgdist,carprog,car3rd,cpa,carmis,cardis,rec,recprog,crdy,crdr,2crdy,fls,fld,off,pkwon,pkcon,og,recov,aerwon,aerlost,aerwonpct,market_value_euros,negative,neutral,positive,avgsentimentscore,player_id,total_injuries,total_days_injured,avg_days_injured,max_days_injured,recent_injury_days,goals_per90,assists_per90,shots_on_target_rate
fra,df,nott'ham forest,premier league,22,2000,2,0,17,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,105.0,71.4,1265.0,630.0,30.0,35.0,85.7,40.0,50.0,80.0,5.0,15.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,10.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,125.0,10.0,95.0,25.0,5.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,50.0,380.0,305.0,10.0,5.0,0.0,0.0,0.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,100.0,2500000.0,0.5370370370370371,0.1296296296296296,0.3333333333333333,-0.2014833333333333,0.0,2,303,151.5,272,31,0.0,0.0,0.0
bih,df,hoffenheim,bundesliga,33,1990,2,0,59,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,48.6,82.4,928.6,340.0,8.57,10.0,85.7,22.9,25.7,88.9,8.57,12.9,66.7,0.0,0.0,2.86,0.0,0.0,1.43,44.3,4.29,2.86,0.0,1.43,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.43,0.0,1.43,4.29,33.3,2.86,2.86,1.43,1.43,4.29,5.71,1.43,0.0,65.7,5.71,32.9,27.1,5.71,1.43,65.7,0.0,0.0,0.0,0.0,0.0,40.0,140.0,55.7,0.0,1.43,0.0,1.43,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,2.86,1.43,66.7,300000.0,0.0,0.0,0.0,0.0,0.0,15,858,57.2,277,20,0.0,0.0,0.0
esp,df,elche,la liga,32,1990,17,16,1278,14.2,0,0.85,0.35,41.7,0.0,0.0,19.2,0.0,0.0,0.0,37.4,46.9,79.7,729.8,327.4,13.9,15.1,92.1,18.5,20.6,89.7,4.58,9.3,49.2,0.0,0.0,3.45,0.07,0.07,3.73,43.2,3.24,2.68,0.0,0.92,0.35,0.42,0.0,0.0,0.0,0.0,0.42,0.56,0.63,0.35,0.0,0.07,0.07,0.07,0.07,0.14,0.0,0.0,0.0,0.07,0.07,0.0,1.55,0.85,1.2,0.35,0.0,0.63,1.13,56.3,0.49,0.99,0.42,0.56,1.62,3.17,3.94,0.0,57.0,6.9,29.6,25.5,2.68,0.42,57.0,0.42,0.28,66.7,0.14,33.3,32.7,179.1,106.7,0.99,0.85,0.0,0.35,0.28,33.9,0.0,0.21,0.14,0.0,0.63,0.7,0.0,0.07,0.07,0.0,6.06,1.13,0.49,69.6,400000.0,0.5740740740740741,0.1851851851851851,0.2407407407407407,-0.3042777777777778,0.0,9,373,41.44444444444444,139,31,0.0,0.0,0.4117647058823529
svn,df,udinese,serie a,24,1999,17,17,1383,15.4,2,0.65,0.19,30.0,0.2,0.67,9.1,0.0,0.0,0.0,34.8,41.4,84.0,737.9,266.6,8.44,9.74,86.7,21.4,23.1,92.4,4.55,7.21,63.1,0.0,0.13,1.36,0.0,0.0,2.01,40.3,0.97,0.91,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.26,0.45,0.39,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.04,0.65,0.84,0.19,0.0,0.45,0.65,70.0,0.19,1.49,0.78,0.71,0.97,2.01,6.3,0.0,53.6,9.22,31.0,21.1,1.56,1.1,53.6,0.13,0.06,50.0,0.06,50.0,27.5,131.4,61.0,0.13,0.26,0.06,0.26,0.13,28.6,0.19,0.26,0.0,0.0,0.65,0.13,0.0,0.0,0.0,0.0,4.68,2.92,1.88,60.8,18000000.0,0.4107142857142857,0.1785714285714285,0.4107142857142857,-0.0360946428571428,0.0,9,181,20.11111111111111,103,7,0.12987012987012986,0.0,0.2923076923076923
mli,fw,almería,la liga,21,2001,15,11,935,10.4,4,2.31,1.06,45.8,0.17,0.36,11.0,0.0,0.0,0.0,13.6,19.1,70.9,165.0,22.4,9.42,11.6,81.0,3.46,5.1,67.9,0.1,0.1,100.0,0.19,1.06,0.58,0.19,0.1,0.87,16.8,2.12,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.19,0.58,2.69,2.12,0.0,0.1,0.29,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.29,0.19,0.1,0.1,0.1,0.0,0.19,0.0,0.19,0.38,0.1,0.29,0.0,0.29,1.63,0.0,30.6,1.92,3.27,15.1,12.8,4.33,30.6,1.06,0.29,27.3,0.67,63.6,14.6,72.0,34.9,1.15,1.06,0.58,3.65,0.48,19.5,4.04,0.0,0.0,0.0,2.21,0.29,1.15,0.0,0.0,0.0,3.46,3.27,3.17,50.7,15000000.0,0.4729729729729729,0.2837837837837837,0.2432432432432432,-0.1574675675675675,0.0,7,475,67.85714285714286,148,16,0.3846153846153846,0.01826923076923077,0.4588744588744589
mli,fw,reims,ligue 1,21,2001,3,1,91,1.0,0,1.0,1.0,100.0,0.0,0.0,26.1,0.0,0.0,0.0,16.0,20.0,80.0,234.0,46.0,9.0,11.0,81.8,6.0,7.0,85.7,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,29.0,1.0,3.0,13.0,13.0,3.0,29.0,2.0,1.0,50.0,1.0,50.0,13.0,61.0,15.0,0.0,0.0,0.0,1.0,2.0,17.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,15000000.0,0.4729729729729729,0.2837837837837837,0.2432432432432432,-0.1574675675675675,0.0,7,475,67.85714285714286,148,16,0.0,0.0,1.0
den,mffw,bournemouth,premier league,26,1996,21,19,1555,17.3,4,1.16,0.58,50.0,0.2,0.4,19.6,0.17,0.0,0.0,23.3,31.2,74.8,343.2,89.2,12.8,15.7,81.9,7.23,9.13,79.1,1.56,2.95,52.9,0.06,0.75,1.39,0.29,0.12,2.2,30.3,0.75,0.46,0.06,0.29,1.21,0.12,0.12,0.12,0.0,0.0,0.06,1.21,1.68,1.27,0.0,0.23,0.12,0.06,0.0,0.23,0.17,0.0,0.0,0.06,0.0,0.0,2.2,1.21,0.87,0.92,0.4,0.58,1.16,50.0,0.58,1.62,0.29,1.33,1.04,3.24,1.73,0.0,43.1,2.31,10.6,19.5,13.7,2.25,43.1,1.39,0.69,50.0,0.58,41.7,22.8,118.8,54.9,1.33,1.1,0.23,1.56,1.5,27.8,3.47,0.12,0.0,0.0,1.04,1.27,0.17,0.0,0.0,0.0,4.86,1.85,1.16,61.5,10000000.0,0.4285714285714285,0.0793650793650793,0.492063492063492,-0.046047619047619,0.0,9,247,27.444444444444443,92,14,0.23121387283236994,0.0034682080924855487,0.5
cmr,mf,clermont foot,ligue 1,29,1993,1,0,23,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,113.3,97.1,2063.3,770.0,33.3,33.3,100.0,70.0,70.0,100.0,6.67,10.0,66.7,0.0,0.0,0.0,0.0,0.0,13.3,110.0,3.33,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,3.33,3.33,0.0,0.0,116.7,13.3,33.3,80.0,3.33,0.0,116.7,0.0,0.0,0.0,0.0,0.0,96.7,526.7,186.7,0.0,0.0,0.0,0.0,0.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.67,6.67,50.0,100000.0,0.6857142857142857,0.0857142857142857,0.2285714285714285,-0.4119142857142857,0.0,5,186,37.2,83,63,0.0,0.0,0.0
ita,df,fiorentina,serie a,30,1992,20,19,1622,18.0,0,0.78,0.06,7.1,0.0,0.0,25.9,0.33,0.0,0.06,51.9,72.1,72.0,970.3,370.2,22.1,24.9,88.8,22.7,28.5,79.7,6.5,15.7,41.3,0.11,3.17,4.44,1.44,0.94,6.06,52.6,19.2,3.06,0.0,0.78,11.3,10.0,6.17,2.61,2.56,0.0,0.28,1.61,4.89,2.17,2.61,0.06,0.06,0.0,0.0,0.22,0.11,0.11,0.0,0.0,0.0,0.0,2.17,1.28,0.94,1.11,0.11,1.28,1.94,65.7,0.67,0.89,0.28,0.61,0.28,2.44,1.44,0.06,79.4,2.61,18.8,31.7,29.5,0.94,79.3,0.72,0.22,30.8,0.28,38.5,36.7,165.5,95.0,2.44,1.94,0.22,0.72,0.28,44.2,4.22,0.0,0.0,0.0,0.89,1.28,0.06,0.0,0.0,0.0,4.78,0.61,0.89,40.7,1800000.0,0.3125,0.375,0.3125,-0.01450625,0.0,11,96,8.727272727272727,15,5,0.0,0.006111111111111111,0.07692307692307691
ita,df,monza,serie a,23,1999,18,10,880,9.8,0,1.22,0.31,25.0,0.0,0.0,17.1,0.0,0.0,0.0,37.1,51.0,72.8,641.4,183.7,17.7,20.6,85.6,15.7,21.0,74.8,3.16,7.04,44.9,0.1,1.43,1.94,1.22,0.92,2.55,42.7,8.37,0.41,0.0,0.31,5.61,7.96,0.0,0.0,0.0,0.0,0.0,1.12,2.65,2.24,0.0,0.1,0.2,0.1,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2.04,1.02,1.22,0.61,0.2,1.33,1.73,76.5,0.41,1.73,0.51,1.22,1.22,3.27,1.63,0.0,62.7,2.86,15.3,25.2,23.1,2.35,62.7,1.53,0.61,40.0,0.82,53.3,31.8,210.1,109.6,3.98,2.35,0.41,1.73,0.71,38.7,8.88,0.31,0.0,0.0,0.82,0.92,0.2,0.0,0.0,0.0,4.9,0.2,0.51,28.6,2800000.0,0.7636363636363637,0.0909090909090909,0.1454545454545454,-0.5730527272727273,0.0,4,107,26.75,45,45,0.0,0.01020408163265306,0.2540983606557377
