nation,pos,squad,comp,age,born,mp,starts,min,90s,goals,shots,sot,sotpct,g/sh,g/sot,shodist,shofk,shopk,pkatt,pastotcmp,pastotatt,pastotcmppct,pastotdist,pastotprgdist,passhocmp,passhoatt,passhocmppct,pasmedcmp,pasmedatt,pasmedcmppct,pasloncmp,paslonatt,pasloncmppct,assists,pasass,pas3rd,ppa,crspa,pasprog,paslive,pasdead,pasfk,tb,sw,pascrs,ti,ck,ckin,ckout,ckstr,pasoff,pasblocks,sca,scapasslive,scapassdead,scadrib,scash,scafld,scadef,gca,gcapasslive,gcapassdead,gcadrib,gcash,gcafld,gcadef,tkl,tklwon,tkldef3rd,tklmid3rd,tklatt3rd,tkldri,tkldriatt,tkldripct,tkldripast,blocks,blksh,blkpass,int,tkl_plus_int,clr,err,touches,toudefpen,toudef3rd,toumid3rd,touatt3rd,touattpen,toulive,toatt,tosuc,tosucpct,totkl,totklpct,carries,cartotdist,carprgdist,carprog,car3rd,cpa,carmis,cardis,rec,recprog,crdy,crdr,2crdy,fls,fld,off,pkwon,pkcon,og,recov,aerwon,aerlost,aerwonpct,market_value_euros,negative,neutral,positive,avgsentimentscore,player_id,total_injuries,total_days_injured,avg_days_injured,max_days_injured,recent_injury_days,goals_per90,assists_per90,shots_on_target_rate
usa,mffw,leeds united,premier league,22,2000,20,19,1596,17.7,1,1.53,0.28,18.5,0.04,0.2,19.0,0.11,0.0,0.0,23.2,31.0,74.9,293.0,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,0.11,1.75,1.75,0.45,0.11,3.22,28.1,2.88,0.96,0.17,0.0,2.54,0.23,1.47,0.68,0.62,0.06,0.0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,0.4,4.35,19.0,21.5,2.49,44.0,3.73,1.19,31.8,1.75,47.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0.0,0.0,0.62,2.26,0.17,0.0,0.0,0.0,4.86,0.34,1.19,22.2,15000000.0,0.2051282051282051,0.1666666666666666,0.6282051282051282,0.3244705128205128,0.0,2,40,20.0,36,4,0.05649717514124294,0.0062146892655367235,0.18300653594771243
mar,df,reims,ligue 1,35,1987,22,22,1980,22.0,0,0.86,0.05,5.3,0.0,0.0,13.5,0.0,0.0,0.0,38.5,47.2,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,7.0,53.9,0.05,0.27,2.91,0.09,0.0,4.5,43.3,3.73,3.32,0.0,0.55,0.18,0.09,0.0,0.0,0.0,0.0,0.23,0.59,1.14,0.86,0.0,0.0,0.18,0.0,0.09,0.18,0.14,0.0,0.0,0.05,0.0,0.0,2.5,1.59,1.45,1.0,0.05,1.32,1.68,78.4,0.36,2.23,0.77,1.45,2.0,4.5,2.91,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,46.7,0.36,53.3,40.0,234.2,125.0,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0.0,0.0,1.32,0.5,0.05,0.0,0.0,0.0,6.64,2.18,1.23,64.0,400000.0,0.6792452830188679,0.1132075471698113,0.2075471698113207,-0.4578547169811321,0.0,2,24,12.0,15,15,0.0,0.002272727272727273,0.058139534883720936
fra,mffw,angers,ligue 1,23,1999,14,8,770,8.6,0,1.05,0.35,33.3,0.0,0.0,19.2,0.0,0.0,0.0,40.0,49.5,80.8,676.0,188.1,18.5,22.0,84.1,15.5,18.7,82.6,4.42,5.93,74.5,0.0,1.51,3.95,1.74,0.35,6.4,48.1,1.16,0.35,0.12,0.23,1.05,0.81,0.0,0.0,0.0,0.0,0.23,1.16,2.67,2.44,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.4,1.28,1.4,0.23,1.63,2.67,60.9,1.05,1.51,0.12,1.4,0.93,3.84,0.93,0.0,62.6,0.93,11.4,36.0,17.4,1.16,62.6,3.84,2.09,54.5,1.51,39.4,48.5,298.5,151.0,2.56,2.56,0.47,2.09,1.05,43.4,5.93,0.12,0.0,0.0,1.74,1.28,0.0,0.0,0.0,0.0,8.14,0.93,1.05,47.1,7000000.0,0.9183673469387756,0.0816326530612244,0.0,-0.810269387755102,0.0,6,84,14.0,24,19,0.0,0.0,0.3333333333333333
gha,mf,lens,ligue 1,22,2000,20,20,1799,20.0,1,0.6,0.15,25.0,0.08,0.33,20.3,0.0,0.0,0.0,59.5,64.9,91.6,946.3,226.9,29.6,31.8,93.2,24.7,26.2,94.3,3.35,4.3,77.9,0.0,0.5,6.0,0.55,0.1,5.6,63.1,1.4,1.3,0.05,0.2,0.35,0.1,0.0,0.0,0.0,0.0,0.35,0.4,1.6,1.35,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.55,0.85,0.1,0.85,1.3,65.4,0.45,1.3,0.35,0.95,1.1,2.6,0.8,0.0,73.3,2.1,12.0,49.6,12.2,0.7,73.3,1.25,0.7,56.0,0.4,32.0,61.0,316.9,117.5,1.25,1.95,0.15,1.35,1.3,56.5,1.7,0.15,0.0,0.0,2.45,1.35,0.0,0.0,0.0,0.05,6.6,0.5,0.5,50.0,5000000.0,0.6206896551724138,0.1206896551724138,0.2586206896551724,-0.3056741379310345,0.0,4,247,61.75,228,228,0.05,0.0,0.25
fra,mf,lorient,ligue 1,30,1993,15,15,1165,12.9,0,0.31,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,37.9,43.4,87.3,613.6,224.7,17.9,19.4,92.4,15.7,17.8,88.6,2.64,3.95,66.7,0.08,0.62,3.88,0.39,0.0,5.04,42.6,0.78,0.78,0.39,0.16,0.23,0.0,0.0,0.0,0.0,0.0,0.08,0.31,1.24,1.01,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,3.8,2.02,2.64,1.16,0.0,1.32,3.26,40.5,1.94,1.4,0.23,1.16,1.16,4.96,1.55,0.0,54.7,3.26,19.2,31.4,4.88,0.23,54.7,0.93,0.54,58.3,0.31,33.3,41.0,174.3,72.7,0.47,0.93,0.0,1.32,0.78,36.4,0.47,0.16,0.0,0.0,0.93,1.01,0.0,0.0,0.0,0.0,6.51,0.31,0.39,44.4,2500000.0,0.6862745098039216,0.0784313725490196,0.2352941176470588,-0.3104372549019608,0.0,6,119,19.83333333333333,52,15,0.0,0.006201550387596899,0.0
den,mf,hellas verona,serie a,26,1996,1,0,11,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,66.7,310.0,90.0,10.0,10.0,100.0,10.0,10.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,0.0,20.0,20.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,1000000.0,0.7222222222222222,0.1296296296296296,0.1481481481481481,-0.4561796296296296,0.0,9,253,28.11111111111111,94,3,0.0,0.0,0.0
fra,fwmf,auxerre,ligue 1,19,2003,5,2,185,2.1,1,4.29,1.43,33.3,0.11,0.33,20.4,0.0,0.0,0.0,7.14,10.0,71.4,139.5,40.0,1.43,2.38,60.0,4.76,5.24,90.9,0.48,0.95,50.0,0.0,0.0,0.48,1.43,0.48,1.9,9.05,0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.48,0.0,0.95,0.48,0.0,0.95,0.0,0.95,0.48,0.0,0.48,0.48,1.9,0.48,0.0,25.7,0.48,1.43,11.4,12.9,6.67,25.7,1.43,0.48,33.3,0.95,66.7,17.1,97.1,10.5,1.43,0.0,0.95,7.62,3.33,19.0,6.67,0.0,0.0,0.0,0.95,1.43,0.48,0.0,0.0,0.0,0.48,1.43,1.43,50.0,22000000.0,0.4705882352941176,0.2549019607843137,0.2745098039215686,-0.201021568627451,0.0,0,0,0.0,0,0,0.47619047619047616,0.0,0.3333333333333333
fra,fwmf,rennes,ligue 1,19,2003,11,0,107,1.2,1,5.0,1.67,33.3,0.17,0.5,12.2,0.0,0.0,0.0,5.83,12.5,46.7,107.5,25.0,2.5,5.0,50.0,2.5,3.33,75.0,0.83,0.83,100.0,0.0,1.67,0.83,0.83,0.0,1.67,12.5,0.0,0.0,0.83,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.83,5.83,1.67,0.0,0.0,2.5,0.83,0.83,1.67,0.0,0.0,0.0,0.0,0.83,0.83,0.83,0.83,0.0,0.0,0.83,0.83,0.83,100.0,0.0,0.83,0.0,0.83,1.67,2.5,0.83,0.0,30.8,0.83,0.83,12.5,18.3,12.5,30.8,0.0,0.0,0.0,0.0,0.0,22.5,145.0,87.5,3.33,0.83,1.67,8.33,0.83,22.5,9.17,0.0,0.0,0.0,2.5,4.17,0.83,0.83,0.0,0.0,1.67,0.83,3.33,20.0,22000000.0,0.4705882352941176,0.2549019607843137,0.2745098039215686,-0.201021568627451,0.0,0,0,0.0,0,0,0.8333333333333334,0.0,0.33399999999999996
bra,df,betis,la liga,22,2000,4,3,272,3.0,0,0.67,0.33,50.0,0.0,0.0,7.8,0.0,0.0,0.0,39.0,54.3,71.8,590.0,265.3,20.7,23.3,88.6,13.3,20.0,66.7,2.33,5.67,41.2,0.0,0.0,3.0,0.33,0.0,3.33,42.3,11.7,0.33,0.0,0.67,1.33,11.3,0.0,0.0,0.0,0.0,0.33,2.33,1.0,0.67,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.67,2.33,2.33,0.33,0.0,2.0,2.33,85.7,0.33,1.33,0.67,0.67,2.0,4.67,2.67,0.0,65.7,4.67,20.7,30.7,15.0,1.67,65.7,1.33,0.33,25.0,1.0,75.0,30.3,112.7,67.3,0.67,0.67,0.33,1.0,0.67,35.0,3.67,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,7000000.0,0.509090909090909,0.1454545454545454,0.3454545454545454,-0.15188,0.0,3,70,23.33333333333333,31,31,0.0,0.0,0.4925373134328358
mar,fwmf,toulouse,ligue 1,22,2000,22,17,1507,16.7,5,2.75,1.02,37.0,0.11,0.29,18.1,0.0,0.0,0.0,17.6,25.3,69.7,219.5,49.6,11.7,14.9,79.0,4.43,6.17,71.8,0.24,0.84,28.6,0.24,0.54,0.78,0.42,0.06,1.8,24.3,0.84,0.06,0.06,0.0,0.96,0.78,0.0,0.0,0.0,0.0,0.18,1.56,2.34,1.32,0.0,0.18,0.36,0.42,0.06,0.24,0.12,0.0,0.06,0.0,0.06,0.0,1.14,0.72,0.54,0.3,0.3,0.3,1.32,22.7,1.02,0.54,0.06,0.48,0.84,1.98,0.66,0.0,38.0,0.96,5.45,14.6,18.7,4.97,38.0,3.17,1.02,32.1,1.86,58.5,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,27.1,9.52,0.18,0.0,0.0,1.56,1.8,0.72,0.0,0.0,0.0,4.43,0.42,1.32,24.1,12000000.0,0.4838709677419355,0.3548387096774194,0.1612903225806451,-0.2548854838709677,0.0,6,266,44.333333333333336,176,9,0.29940119760479045,0.01437125748502994,0.3709090909090909
eng,fw,roma,serie a,25,1997,22,18,1582,17.6,6,2.67,1.25,46.8,0.13,0.27,11.6,0.0,0.0,0.0,13.7,20.1,68.6,194.8,49.3,8.13,10.4,78.1,4.03,6.42,62.8,0.91,1.31,69.6,0.17,1.42,0.63,0.63,0.06,2.1,18.4,1.48,0.06,0.11,0.06,0.28,0.06,0.0,0.0,0.0,0.0,0.17,0.28,3.07,1.99,0.0,0.23,0.57,0.28,0.0,0.51,0.23,0.0,0.06,0.17,0.06,0.0,0.74,0.4,0.17,0.34,0.23,0.23,0.68,33.3,0.45,0.51,0.23,0.28,0.17,0.91,0.45,0.0,31.6,0.74,2.1,16.5,13.5,4.83,31.6,3.01,0.8,26.4,1.7,56.6,16.8,89.8,35.9,1.42,0.97,0.63,2.33,1.31,24.5,5.0,0.06,0.0,0.0,1.31,2.05,0.51,0.06,0.0,0.0,1.87,2.56,2.39,51.7,15000000.0,0.32,0.18,0.5,0.146899,0.0,15,537,35.8,286,7,0.3409090909090909,0.009659090909090909,0.46816479400749067
ita,df,inter,serie a,35,1988,14,12,1110,12.3,0,0.49,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,51.7,58.9,87.7,975.9,312.0,18.9,20.5,92.1,25.8,28.6,90.1,6.02,8.13,74.0,0.08,0.49,3.09,0.24,0.0,3.58,55.7,3.17,2.11,0.0,0.73,0.24,0.57,0.0,0.0,0.0,0.0,0.08,0.16,0.98,0.81,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.57,1.14,0.16,0.0,0.81,0.98,83.3,0.16,0.57,0.33,0.24,0.98,2.28,3.33,0.0,67.2,8.21,30.4,34.4,2.85,0.49,67.2,0.16,0.0,0.0,0.08,50.0,36.7,184.3,96.6,1.06,0.89,0.08,0.57,0.24,44.2,0.24,0.24,0.0,0.0,0.73,0.73,0.08,0.0,0.0,0.0,4.96,2.76,1.63,63.0,3000000.0,0.45,0.04,0.51,0.092491,0.0,15,494,32.93333333333333,167,11,0.0,0.0065040650406504065,0.0
fra,fw,nantes,ligue 1,21,2002,2,0,36,0.4,0,2.5,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,45.0,52.5,85.7,685.0,190.0,17.5,17.5,100.0,25.0,30.0,83.3,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,7.5,50.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,62.5,0.0,10.0,27.5,25.0,0.0,62.5,2.5,0.0,0.0,2.5,100.0,52.5,335.0,187.5,5.0,5.0,0.0,0.0,2.5,47.5,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,150000.0,0.875,0.0,0.125,-0.65758125,0.0,0,0,0.0,0,0,0.0,0.0,0.0
arg,df,sevilla,la liga,31,1991,16,12,985,10.9,2,1.47,0.37,25.0,0.13,0.5,26.5,0.09,0.0,0.0,46.5,62.9,73.9,874.2,327.3,22.1,24.8,89.3,17.2,22.4,77.0,6.42,13.3,48.3,0.09,1.93,2.39,2.2,1.1,4.77,50.3,12.6,2.57,0.28,0.92,7.61,8.07,1.93,0.46,1.1,0.0,0.09,0.73,3.03,2.11,0.64,0.0,0.28,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,3.3,1.74,1.93,1.01,0.37,1.83,2.57,71.4,0.73,1.01,0.46,0.55,1.47,4.77,1.28,0.0,74.4,3.49,20.1,32.1,22.9,1.65,74.4,2.11,0.64,30.4,1.1,52.2,40.4,189.2,98.4,2.02,1.56,0.28,1.56,1.38,43.9,4.68,0.46,0.09,0.0,1.65,1.65,0.09,0.0,0.09,0.0,7.52,1.19,0.92,56.5,2000000.0,0.4431818181818182,0.0568181818181818,0.5,0.0174670454545454,0.0,15,255,17.0,37,17,0.18348623853211007,0.008256880733944953,0.25170068027210885
sco,fw,southampton,premier league,26,1996,21,18,1577,17.5,4,2.06,0.74,36.1,0.11,0.31,14.5,0.0,0.0,0.0,14.6,22.2,65.8,206.9,48.1,9.26,12.5,74.3,3.14,4.97,63.2,1.26,1.77,71.0,0.11,1.2,0.97,0.57,0.11,1.31,21.8,0.34,0.0,0.11,0.4,0.51,0.23,0.0,0.0,0.0,0.0,0.06,0.8,2.63,2.06,0.06,0.06,0.23,0.23,0.0,0.29,0.17,0.0,0.0,0.0,0.11,0.0,0.86,0.69,0.34,0.4,0.11,0.4,0.51,77.8,0.11,0.51,0.17,0.34,0.23,1.09,1.03,0.0,32.6,1.26,2.97,13.0,17.2,4.74,32.6,1.43,0.63,44.0,0.63,44.0,18.0,73.8,21.9,0.69,0.51,0.46,3.43,0.91,25.0,4.57,0.0,0.0,0.0,1.77,1.03,0.4,0.0,0.0,0.0,2.29,2.97,5.03,37.1,10000000.0,0.1578947368421052,0.3157894736842105,0.5263157894736842,0.2584421052631579,0.0,3,40,13.333333333333334,19,19,0.22857142857142856,0.006285714285714286,0.3592233009708738
usa,mf,leeds united,premier league,23,1999,19,19,1706,19.0,0,0.11,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,47.1,57.4,82.0,715.1,220.9,25.7,29.2,87.9,16.8,19.9,84.7,2.84,4.74,60.0,0.0,1.21,4.37,0.63,0.0,5.84,54.3,3.16,2.47,0.05,0.05,0.11,0.68,0.0,0.0,0.0,0.0,0.0,1.0,1.84,1.79,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,4.11,2.0,2.05,1.68,0.37,2.21,3.16,70.0,0.95,1.84,0.32,1.53,1.42,5.53,1.16,0.0,69.4,1.53,15.4,43.2,11.3,0.16,69.4,0.89,0.16,17.6,0.58,64.7,35.2,137.1,62.5,0.68,1.0,0.0,1.16,0.68,39.6,0.95,0.26,0.05,0.05,1.74,1.05,0.05,0.0,0.0,0.0,8.68,0.89,0.63,58.6,20000000.0,0.21,0.12,0.67,0.310115,0.0,15,610,40.66666666666666,159,4,0.0,0.0,0.0
arm,fwmf,köln,bundesliga,29,1993,16,3,471,5.2,1,3.46,1.73,50.0,0.06,0.11,13.7,0.0,0.0,0.0,18.1,25.0,72.3,301.2,73.5,9.04,10.6,85.5,7.31,10.0,73.1,1.54,2.31,66.7,0.19,1.35,0.96,1.92,0.38,3.65,22.1,2.69,0.0,0.19,0.19,1.92,1.15,0.0,0.0,0.0,0.0,0.19,0.38,3.27,2.5,0.0,0.0,0.77,0.0,0.0,0.38,0.19,0.0,0.0,0.19,0.0,0.0,1.92,1.15,0.77,0.38,0.77,0.77,1.92,40.0,1.15,1.35,0.0,1.35,0.38,2.31,0.58,0.0,42.7,0.77,4.23,17.7,21.9,7.69,42.7,4.04,0.77,19.0,2.69,66.7,24.0,135.2,52.3,1.54,0.96,0.77,3.65,2.69,27.7,8.65,0.38,0.0,0.0,2.31,0.77,0.58,0.0,0.0,0.0,5.38,1.54,3.85,28.6,400000.0,0.5178571428571429,0.3214285714285714,0.1607142857142857,-0.3344410714285714,0.0,15,355,23.666666666666668,100,7,0.1923076923076923,0.03653846153846154,0.5
eng,df,fulham,premier league,25,1997,14,12,1095,12.2,1,0.33,0.16,50.0,0.25,0.5,16.4,0.0,0.0,0.0,38.9,48.5,80.1,808.6,296.6,9.59,11.0,87.3,25.2,28.4,88.5,3.77,7.79,48.4,0.0,0.08,2.38,0.16,0.0,2.95,46.1,2.13,1.72,0.0,0.49,0.08,0.33,0.0,0.0,0.0,0.0,0.33,0.57,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.41,0.82,0.16,0.08,0.49,0.74,66.7,0.25,0.82,0.66,0.16,1.07,2.13,5.33,0.08,58.1,9.51,31.6,25.5,1.48,0.25,58.1,0.25,0.16,66.7,0.08,33.3,28.9,156.6,95.9,0.49,0.66,0.0,0.16,0.25,35.0,0.08,0.16,0.0,0.0,0.66,0.25,0.0,0.0,0.0,0.0,4.67,2.13,0.41,83.9,20000000.0,0.4915254237288136,0.0508474576271186,0.4576271186440678,-0.0564050847457627,0.0,6,180,30.0,88,22,0.0819672131147541,0.0,0.48484848484848486
fra,mffw,reims,ligue 1,19,2003,5,0,107,1.2,0,0.83,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,24.2,34.2,70.7,325.0,77.5,10.0,15.0,66.7,9.17,11.7,78.6,0.83,2.5,33.3,0.0,0.0,1.67,0.0,0.0,2.5,31.7,2.5,0.83,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.0,0.0,0.83,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.67,0.83,0.0,2.5,3.33,75.0,0.83,2.5,0.83,1.67,2.5,5.0,2.5,0.0,49.2,3.33,18.3,18.3,13.3,0.83,49.2,2.5,0.83,33.3,1.67,66.7,25.8,144.2,69.2,0.83,0.0,0.0,3.33,1.67,22.5,0.83,1.67,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,9.17,5.0,4.17,54.5,2000000.0,0.5714285714285714,0.2857142857142857,0.1428571428571428,-0.3537928571428571,0.0,3,151,50.333333333333336,55,48,0.0,0.0,0.0
ger,fwmf,dortmund,bundesliga,21,2002,15,11,765,8.5,2,2.24,0.94,42.1,0.11,0.25,17.9,0.0,0.0,0.0,24.2,32.9,73.6,303.1,86.6,14.9,18.0,83.0,6.35,8.12,78.3,0.71,1.76,40.0,0.12,1.41,1.41,1.29,0.0,2.94,31.4,1.41,0.35,0.0,0.12,1.76,0.47,0.59,0.59,0.0,0.0,0.12,1.53,3.65,2.71,0.0,0.12,0.35,0.35,0.12,0.59,0.47,0.0,0.0,0.12,0.0,0.0,1.18,0.71,0.35,0.47,0.35,0.71,2.12,33.3,1.41,1.18,0.0,1.18,0.71,1.88,0.12,0.0,48.1,0.71,4.71,18.6,25.8,3.88,48.1,5.41,1.53,28.3,2.71,50.0,31.3,206.2,80.1,2.35,2.12,0.94,3.88,1.76,33.5,8.59,0.59,0.0,0.0,1.29,2.0,0.0,0.0,0.0,0.0,4.94,0.82,0.24,77.8,60000000.0,0.2465753424657534,0.273972602739726,0.4794520547945205,0.1845356164383561,0.0,15,314,20.933333333333334,69,3,0.23529411764705882,0.014117647058823528,0.4196428571428571
fra,fw,leverkusen,bundesliga,22,2000,13,6,652,7.2,1,1.94,0.69,35.7,0.07,0.2,12.3,0.0,0.0,0.0,26.3,33.1,79.4,358.1,81.1,16.1,19.4,82.9,7.36,8.06,91.4,1.25,2.08,60.0,0.28,1.39,2.22,0.56,0.0,3.47,31.1,1.53,0.14,0.28,0.28,0.83,0.42,0.56,0.0,0.28,0.0,0.42,1.11,2.64,1.81,0.28,0.14,0.14,0.14,0.14,0.42,0.28,0.0,0.14,0.0,0.0,0.0,1.53,1.11,0.42,0.56,0.56,0.42,1.11,37.5,0.69,2.08,0.28,1.81,0.42,1.94,0.56,0.0,48.3,0.69,5.56,23.6,19.4,4.44,48.3,2.64,1.11,42.1,1.25,47.4,27.8,151.8,74.4,2.5,1.39,0.69,4.72,1.67,36.1,8.61,0.14,0.0,0.0,3.33,2.78,0.28,0.0,0.0,0.0,3.75,1.53,2.22,40.7,20000000.0,0.3770491803278688,0.2459016393442623,0.3770491803278688,-0.073939344262295,0.0,4,288,72.0,138,8,0.1388888888888889,0.03888888888888889,0.35567010309278346
fra,mffw,milan,serie a,22,2000,4,1,116,1.3,0,1.54,1.54,100.0,0.0,0.0,18.5,0.0,0.0,0.0,29.2,46.2,63.3,512.3,166.2,14.6,18.5,79.2,9.23,13.8,66.7,3.85,8.46,45.5,0.0,0.77,3.08,1.54,0.0,6.15,44.6,1.54,0.77,0.0,0.77,3.08,0.77,0.0,0.0,0.0,0.0,0.0,3.08,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,2.31,1.54,3.08,0.0,1.54,1.54,100.0,0.0,1.54,0.0,1.54,0.77,5.38,0.77,0.0,60.0,0.77,8.46,29.2,24.6,0.77,60.0,0.77,0.77,100.0,0.0,0.0,33.8,217.7,108.5,3.85,3.08,0.0,1.54,1.54,44.6,5.38,0.77,0.0,0.0,2.31,0.77,0.0,0.0,0.0,0.0,3.85,0.0,2.31,0.0,11000000.0,0.325,0.2125,0.4625,0.1709725,0.0,6,146,24.33333333333333,58,26,0.0,0.0,1.0
sui,fwmf,bologna,serie a,26,1997,18,8,775,8.6,1,1.16,0.23,20.0,0.1,0.5,15.4,0.12,0.0,0.0,32.6,39.8,81.9,497.3,150.0,18.0,20.1,89.6,11.4,13.3,86.0,2.33,3.84,60.6,0.0,0.93,2.21,0.12,0.0,2.56,37.9,1.51,0.58,0.0,0.23,1.05,0.58,0.23,0.0,0.23,0.0,0.35,1.05,2.21,1.51,0.23,0.12,0.23,0.12,0.0,0.23,0.0,0.0,0.0,0.12,0.12,0.0,0.47,0.12,0.23,0.0,0.23,0.12,0.58,20.0,0.47,1.28,0.23,1.05,0.35,0.81,0.7,0.0,47.2,1.05,9.53,22.7,15.1,1.86,47.2,0.47,0.12,25.0,0.35,75.0,27.7,109.5,49.9,0.81,0.7,0.23,1.74,1.16,35.8,5.0,0.35,0.0,0.0,1.16,1.63,0.58,0.12,0.12,0.0,5.0,0.58,1.05,35.7,4500000.0,0.4084507042253521,0.0985915492957746,0.4929577464788732,0.0964760563380281,0.0,9,316,35.111111111111114,107,15,0.11627906976744186,0.0,0.19827586206896555
gha,fwmf,cremonese,serie a,20,2003,12,2,359,4.0,0,2.5,0.25,10.0,0.0,0.0,16.4,0.0,0.0,0.0,17.8,22.5,78.9,234.3,26.5,12.3,13.8,89.1,4.0,5.0,80.0,0.75,1.25,60.0,0.0,0.25,0.75,0.0,0.0,1.5,21.8,0.75,0.0,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.75,1.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.75,0.25,0.0,0.25,0.25,100.0,0.0,0.25,0.0,0.25,0.0,1.0,0.75,0.0,34.3,1.25,4.75,11.0,19.0,4.25,34.3,2.0,0.5,25.0,1.0,50.0,22.3,146.0,62.8,3.5,1.25,0.5,4.0,2.0,24.8,8.0,0.25,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.25,2.0,4.0,33.3,1800000.0,0.5652173913043478,0.1159420289855072,0.3188405797101449,-0.261268115942029,0.0,5,132,26.4,102,102,0.0,0.0,0.1
