Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Tomas Vaclik,33,Goalkeeper,Czech Republic,2.5,Huddersfield,Championship,England,Free,0.0
Alexis Peña,26,Centre-Back,Mexico,2.5,Necaxa,Liga MX Clausura,Mexico,Unknown,0.0
José Esquivel,24,Defensive Midfield,Mexico,2.5,Necaxa,Liga MX Clausura,Mexico,Free,0.0
Ben Mee,32,Centre-Back,England,2.5,Brentford,Premier League,England,Free,0.0
Gédéon Kalulu,24,Right-Back,DR Congo,2.5,FC Lorient,Ligue 1,France,Free,0.0
Emerson Rodríguez,22,Right Midfield,Colombia,2.5,Santos Laguna,Liga MX Clausura,Mexico,Loan,0.0
Jérémy Gélin,25,Centre-Back,France,2.5,Amiens SC,Ligue 2,France,Free,0.0
Yan Valery,23,Right-Back,Tunisia,2.5,Angers SCO,Ligue 1,France,Unknown,0.0
João Carvalho,25,Attacking Midfield,Portugal,2.5,Estoril Praia,Liga Portugal,Portugal,Loan,0.0
Isaac Atanga,22,Right Winger,Ghana,2.5,Göztepe,1.Lig,Turkey,Loan,0.0
Lisandro Magallán,29,Centre-Back,Argentina,2.5,Elche CF,LaLiga,Spain,Free,0.0
Andriy Yarmolenko,32,Right Winger,Ukraine,2.5,Al-Ain FC,UAE Pro League,United Arab Emirates,Free,0.0
Pere Pons,29,Defensive Midfield,Spain,2.5,AEK Larnaca,Protathlima Cyta,Cyprus,Free,0.0
Gonzalo Escalante,29,Central Midfield,Argentina,2.5,Cremonese,Serie A,Italy,Loan,0.0
Gabriel Silva,20,Right Winger,Brazil,2.5,Santa Clara,Liga Portugal,Portugal,Loan,0.0
Matheus Babi,25,Centre-Forward,Brazil,2.5,Santa Clara,Liga Portugal,Portugal,Loan,0.0
Filip Stevanovic,19,Left Winger,Serbia,2.5,Santa Clara,Liga Portugal,Portugal,Loan,0.0
Marcelo,34,Left-Back,Brazil,2.5,Fluminense,Série A,Brazil,Free,0.0
Raúl Moro,20,Left Winger,Spain,2.5,Real Oviedo,LaLiga2,Spain,Loan,0.0
Achraf Bencharki,27,Left Winger,Morocco,2.5,Al-Jazira,UAE Pro League,United Arab Emirates,Free,0.0
Roger Martí,32,Centre-Forward,Spain,2.5,Cádiz CF,LaLiga,Spain,Unknown,0.0
Sergi Guardiola,31,Centre-Forward,Spain,2.5,Cádiz CF,LaLiga,Spain,Loan,0.0
Alfie Mawson,28,Centre-Back,England,2.5,Wycombe,League One,England,Free,0.0
Marley Aké,22,Left Winger,France,2.5,Dijon,Ligue 2,France,Loan,0.0
Ryan Woods,28,Defensive Midfield,England,2.5,Hull City,Championship,England,Unknown,0.0
Michael Ngadeu,32,Centre-Back,Cameroon,2.5,BJ Guoan,Super League,China,Free,0.0
Souza,34,Defensive Midfield,Brazil,2.5,BJ Guoan,Super League,China,Free,0.0
Martín Aguirregabiria,26,Right-Back,Spain,2.5,Famalicão,Liga Portugal,Portugal,Free,0.0
Santiago Colombatto,25,Defensive Midfield,Argentina,2.5,Famalicão,Liga Portugal,Portugal,Loan,0.0
Mathias Pereira Lage,25,Right Midfield,France,2.5,Stade Brestois,Ligue 1,France,Free,0.0
