units,dropout,lr,rmse,mae,r2
32,0.1,0.001,0.0810789059519984,0.042838479329833076,-0.11833769030542918
32,0.1,0.005,0.08380994358357349,0.04366712709456606,-0.1949460519092061
32,0.2,0.001,0.08252504142814054,0.045246802622826016,-0.15858714123688422
32,0.2,0.005,0.1081139334198658,0.07687389953886535,-0.9884768464483273
64,0.1,0.001,0.08378054651497537,0.05325704450831298,-0.1941079234283427
64,0.1,0.005,0.0965656131663134,0.07158606887602786,-0.5863616672205296
64,0.2,0.001,0.11491029045924359,0.0857458637828436,-1.2463377052617508
64,0.2,0.005,0.10347798169391793,0.08654412928985282,-0.8216003487582044
